racedate,racecoursecode,noraces
20110911,ST,10
20110914,HV,8
20110918,ST,10
20110921,HV,8
20110925,ST,10
20110928,HV,8
20111001,ST,10
20111006,HV,8
20111009,ST,11
20111012,HV,8
20111016,ST,10
20111019,ST,8
20111023,HV,10
20111026,HV,8
20111030,ST,11
20111105,ST,10
20111109,HV,8
20111113,ST,10
20111116,HV,8
20111120,ST,10
20111123,HV,8
20111127,ST,11
20111130,HV,8
20111204,ST,10
20111207,HV,8
20111211,ST,10
20111214,HV,8
20111217,ST,11
20111221,HV,8
20111227,ST,10
20120101,ST,11
20120104,HV,8
20120108,ST,10
20120111,HV,8
20120115,ST,10
20120118,HV,8
20120121,ST,10
20120125,ST,11
20120129,ST,10
20120201,HV,8
20120205,ST,10
20120208,HV,8
20120211,ST,10
20120215,HV,8
20120219,ST,10
20120222,HV,8
20120226,ST,10
20120229,HV,8
20120304,ST,10
20120307,HV,8
20120310,ST,10
20120314,HV,8
20120318,ST,10
20120321,ST,8
20120325,ST,10
20120328,HV,8
20120401,ST,10
20120409,ST,11
20120415,HV,10
20120418,HV,8
20120421,ST,10
20120425,HV,8
20120429,ST,10
20120502,HV,8
20120506,ST,11
20120509,HV,8
20120512,ST,10
20120516,ST,8
20120519,ST,10
20120527,ST,11
20120530,HV,8
20120603,ST,10
20120606,HV,8
20120609,ST,10
20120613,HV,8
20120617,ST,11
20120620,HV,8
20120624,ST,10
20120701,ST,11
20120704,HV,8
20120708,ST,11
20120711,HV,8
20120715,ST,11
20140914,ST,10
20140917,ST,8
20140921,ST,10
20140924,ST,8
20140927,ST,10
20141001,ST,10
20141005,ST,10
20141008,ST,8
20141012,ST,10
20141015,ST,8
20141019,HV,10
20141022,HV,8
20141026,ST,11
20141029,HV,8
20141102,ST,10
20141109,ST,10
20141112,HV,8
20141115,ST,10
20141119,HV,8
20141123,ST,11
20141126,HV,8
20141130,ST,10
20141203,HV,8
20141207,ST,11
20141210,HV,9
20141214,ST,10
20141217,HV,8
20141220,ST,10
20141228,ST,11
20150101,ST,11
20150104,ST,10
20150107,HV,8
20150110,ST,10
20150114,HV,8
20150118,ST,10
20150121,HV,8
20150125,ST,10
20150128,HV,8
20150201,ST,10
20150204,HV,8
20150207,ST,10
20150211,HV,8
20150215,ST,10
20150221,ST,11
20150225,HV,9
20150301,ST,10
20150304,HV,9
20150308,ST,10
20150311,HV,9
20150315,ST,10
20150318,HV,8
20150321,ST,10
20150325,ST,8
20150329,ST,10
20150401,HV,9
20150407,ST,10
20150412,ST,11
20150415,HV,8
20150419,ST,10
20150422,HV,8
20150426,ST,10
20150429,HV,8
20150503,ST,11
20150506,HV,8
20150509,ST,10
20150513,HV,8
20150516,ST,10
20150520,HV,8
20150524,ST,11
20150527,ST,8
20150531,ST,10
20150603,HV,8
20150607,ST,10
20150610,HV,8
20150614,ST,11
20150617,HV,8
20150621,ST,10
20150624,HV,8
20150627,ST,10
20150701,ST,11
20150705,ST,11
20150708,HV,9
20150712,ST,11
20150906,ST,10
20150909,HV,8
20150913,ST,10
20150916,HV,8
20150919,ST,10
20150923,HV,8
20150928,ST,10
20151001,ST,10
20151004,ST,10
20151007,HV,8
20151010,ST,10
20151014,HV,8
20151018,ST,11
20151022,HV,8
20151025,ST,10
20151101,HV,10
20151108,ST,11
20151111,HV,9
20151114,ST,10
20151118,ST,8
20151121,ST,10
20151125,HV,8
20151129,ST,10
20151202,HV,8
20151206,ST,11
20151209,HV,9
20151213,ST,10
20151216,HV,8
20151219,ST,10
20151223,HV,8
20151227,ST,11
20160101,ST,11
20160106,HV,8
20160109,ST,10
20160113,HV,8
20160117,ST,10
20160120,HV,8
20160124,ST,11
20160131,ST,11
20160203,HV,9
20160206,ST,10
20160210,ST,11
20160214,ST,10
20160217,HV,8
20160221,ST,8
20160224,HV,9
20160228,ST,10
20160302,HV,8
20160306,ST,10
20160309,HV,8
20160313,ST,9
20160316,HV,8
20160320,ST,9
20160323,HV,8
20160328,ST,10
20160331,HV,8
20120908,ST,10
20120912,HV,8
20120916,ST,12
20120923,ST,12
20120926,HV,12
20121001,ST,12
20121006,ST,12
20120110,HV,12
20121014,ST,12
20121017,ST,12
20121021,HV,12
20121024,HV,12
20121028,ST,12
20121104,ST,12
20121107,HV,12
20121110,ST,12
20121114,ST,12
20121118,ST,12
20121121,HV,12
20121125,ST,12
20121128,HV,12
20121203,ST,12
20121205,HV,12
20121209,ST,12
20121212,HV,12
20121216,ST,12
20121219,HV,12
20121222,ST,12
20121228,HV,12
