finishtime,jockeycode,draw,horsecode,lbw,trainercode,hkjcres16_item,runningpositions,actualwt,racecoursecode,place,horsewt,winodds,horseno,racenumber,racedate
[70.37],MOJ,1,http://www.hkjc.com/english/racing/horse.asp?horseno=V043,[0.0],SCS,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",3-3-1,127,HV,1,958,[1.7],5,1,20160120
[70.67],CAN,11,http://www.hkjc.com/english/racing/horse.asp?horseno=T335,[2.0],CAS,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",8-7-3,125,HV,3,1059,[48.0],6,1,20160120
[70.93],HCY,10,http://www.hkjc.com/english/racing/horse.asp?horseno=N307,[3.5],FC,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",2-2-5,131,HV,5,1180,[9.8],1,1,20160120
[71.35],MR,12,http://www.hkjc.com/english/racing/horse.asp?horseno=S317,[6.25],TYS,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",9-9-7,130,HV,7,1077,[11.0],3,1,20160120
[71.7],DSS,8,http://www.hkjc.com/english/racing/horse.asp?horseno=S432,[8.25],SWY,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",12-12-9,119,HV,9,1045,[16.0],11,1,20160120
[72.19],TON,9,http://www.hkjc.com/english/racing/horse.asp?horseno=P112,[11.5],YPF,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",10-11-11,122,HV,11,1220,[72.0],7,1,20160120
[70.5],WD,3,http://www.hkjc.com/english/racing/horse.asp?horseno=T140,[1.0],OSP,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",4-4-2,118,HV,2,1157,[12.0],12,1,20160120
[70.85],WJH,6,http://www.hkjc.com/english/racing/horse.asp?horseno=T258,[3.0],NTK,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",7-6-4,126,HV,4,1115,[12.0],2,1,20160120
[71.17],LHW,2,http://www.hkjc.com/english/racing/horse.asp?horseno=S252,[5.0],HL,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",6-5-6,123,HV,6,1144,[41.0],9,1,20160120
[71.36],LDE,4,http://www.hkjc.com/english/racing/horse.asp?horseno=N337,[6.25],CD,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",1-1-8,122,HV,8,1230,[28.0],8,1,20160120
[71.84],MG,5,http://www.hkjc.com/english/racing/horse.asp?horseno=V084,[9.25],MKL,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",11-10-10,127,HV,10,1102,[38.0],4,1,20160120
[72.35],PB,7,http://www.hkjc.com/english/racing/horse.asp?horseno=T319,[12.5],YCH,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",5-8-12,122,HV,12,1068,[9.4],10,1,20160120
[101.66],MR,2,http://www.hkjc.com/english/racing/horse.asp?horseno=M326,[0.0],TYS,"[{'a1_div': u'23.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl1_combo_div': u'5/7 59.50',
 'f4_combo_div': u'4,5,7,10 355.00',
 'finishtime': 101.66,
 'going': u'GOOD',
 'place_combo_div': u'7 15.00',
 'qn_combo_div': u'5,7 96.00',
 'qnp_combo_div': u'5,7 36.50',
 'qtt_combo_div': u'7,5,10,4 5,192.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 339,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=2&All=0#Race2',
 'tce_combo_div': u'7,5,10 884.00',
 'trio_combo_div': u'5,7,10 178.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/2',
 'win_combo_div': u'7 39.00'}]",3-3-2-1,124,HV,1,1116,[3.9],7,2,20160120
[101.74],MOJ,6,http://www.hkjc.com/english/racing/horse.asp?horseno=S376,[0.5],SJJ,"[{'a1_div': u'23.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl1_combo_div': u'5/7 59.50',
 'f4_combo_div': u'4,5,7,10 355.00',
 'finishtime': 101.66,
 'going': u'GOOD',
 'place_combo_div': u'7 15.00',
 'qn_combo_div': u'5,7 96.00',
 'qnp_combo_div': u'5,7 36.50',
 'qtt_combo_div': u'7,5,10,4 5,192.00',
 'raceclass': u'Class 4',
 'racedistance': 1650,
 'raceindex': 339,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=2&All=0#Race2',
 'tce_combo_div': u'7,5,10 884.00',
 'trio_combo_div': u'5,7,10 178.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/2',
 'win_combo_div': u'7 39.00'}]",6-5-3-3,121,HV,3,1042,[5.9],10,2,20160120
