finishtime,horsecode,lbw,runningpositions,winoddsrank,racedate,timeperm,jockeycode,marginsbehindleader,todaysrunners,racecoursecode,horsewt,sec_timelist,racenumber,draw,hkjcres16_item,actualwt,horseno,horsereport,trainercode,place,winodds
138.14,T230,0.0,2>1>1>1>1>1,,20160120,,MG,"[0.5, 0.3, 1.5, 1.25, 1.75, 4.0]",,HV,1165,"[14.25, 24.01, 24.88, 25.24, 25.54, 24.22]",3,9,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",130,6,,YPF,1,2.8
138.81,P405,4.25,11>11>10>10>10>3,,20160120,,YML,"[5.75, 6.5, 9.5, 7.0, 5.75, 4.25]",,HV,1065,"[15.09, 24.21, 25.36, 24.84, 25.34, 23.97]",3,3,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",116,12,,LAL,3,10.0
138.95,N323,5.0,7>5>2>2>2>5,,20160120,,RN,"[3.75, 2.25, 1.5, 1.25, 1.75, 5.0]",,HV,1126,"[14.77, 23.85, 24.76, 25.2, 25.62, 24.75]",3,10,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",128,8,,CCW,5,15.0
139.2,S353,6.75,3>4>5>6>3>7,,20160120,,MR,"[1.5, 1.25, 4.5, 4.0, 2.75, 6.75]",,HV,1191,"[14.41, 24.05, 25.4, 25.16, 25.34, 24.84]",3,4,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",128,9,,SCS,7,7.4
139.38,N438,7.75,8>9>8>7>5>9,,20160120,,TEK,"[3.75, 4.5, 7.0, 5.0, 4.25, 7.75]",,HV,1095,"[14.77, 24.21, 25.28, 24.92, 25.42, 24.78]",3,2,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",130,5,,FC,9,9.3
142.14,T144,25.0,1>3>4>3>4>11,,20160120,,WD,"[0.5, 1.25, 3.0, 1.75, 3.25, 25.0]",,HV,1048,"[14.17, 24.29, 25.16, 25.04, 25.78, 27.7]",3,5,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",133,2,,JM,11,40.0
138.78,M401,4.0,9>8>9>9>8>2,[2],20160120,[0.0192],MOJ,"[5.0, 3.75, 7.5, 6.5, 5.25, 4.0]","T230,M401,S353,N438,P405,N323,T144",HV,1083,"[14.97, 23.89, 25.48, 25.08, 25.34, 24.02]",3,8,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",131,4,PACKING DRAGON and TOWERING STORM were sent for sampling,OSP,2,6.0
138.84,S438,4.25,10>10>11>11>9>4,[7],20160120,[0.0192],SCC,"[5.5, 5.25, 9.75, 8.5, 5.5, 4.25]","T230,M401,S353,N438,P405,N323,S438,T144",HV,1077,"[15.05, 24.05, 25.6, 25.04, 25.06, 24.04]",3,12,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",124,11,,YTP,4,27.0
139.1,P272,6.0,12>12>12>12>12>6,[9],20160120,[0.0193],FRA,"[7.25, 8.25, 11.75, 8.75, 7.0, 6.0]","T230,M401,S353,N438,P405,N323,S438,T144,P272",HV,1040,"[15.33, 24.25, 25.44, 24.76, 25.26, 24.06]",3,11,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",129,7,"ROCK THE TREE, which was following, was shifted in away from the heels of DUAL HAPPY passing the 450 Metres as that horse continued to give groundClose to the finishing line, ROCK THE TREE was awkwardly placed close to the heels of LEVEL PLAYER",FD,6,48.0
139.31,S412,7.25,4>7>6>5>7>8,[3],20160120,[0.0193],DSS,"[2.5, 2.75, 4.75, 3.5, 4.5, 7.25]","T230,M401,S412,S353,N438,P405,N323,S438,T144,P272",HV,1006,"[14.57, 24.13, 25.2, 25.04, 25.7, 24.67]",3,1,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",133,1,"Passing the 500 Metres, DUAL HAPPY, which was giving ground, was steadied when racing in restricted room between MONSIEUR MOGOK and BEST SHOWPassing the 400 Metres, MONSIEUR MOGOK raced tight between PRINCE FALCON and BEST SHOW when endeavouring to improve into tight running between those horsesA veterinary inspection of MONSIEUR MOGOK immediately following the race including an endoscopic examination showed a substantial amount of mucopus in the horse's trachea",MA,8,6.5
139.98,N177,11.5,6>6>7>8>6>10,[8],20160120,[0.0194],CAN,"[2.75, 2.75, 6.25, 5.25, 4.25, 11.5]","T230,M401,S412,S353,N438,P405,N323,N177,S438,T144,P272",HV,1088,"[14.61, 24.09, 25.44, 25.08, 25.38, 25.38]",3,6,"[{'a1_div': u'19.50',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'dbl2_combo_div': u'7/6 167.00',
 'f4_combo_div': u'4,6,11,12 1,435.00',
 'finishtime': 138.14,
 'going': u'GOOD',
 'place_combo_div': u'6 14.50',
 'qn_combo_div': u'4,6 79.50',
 'qnp_combo_div': u'4,6 33.00',
 'qtt_combo_div': u'6,4,12,11 16,189.00',
 'raceclass': u'Class 4',
 'racedistance': 2200,
 'raceindex': 340,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=3&All=0#Race3',
 'tce_combo_div': u'6,4,12 934.00',
 'trio_combo_div': u'4,6,12 216.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/3',
 'win_combo_div': u'6 28.50'}]",127,10,"Shortly after the start, ROUGE ET BLANC shifted out, resulting in PRINCE FALCON, AGIAAL and DUAL HAPPY being hamperedPassing the 750 Metres, AGIAAL was bumped by BEST SHOW which shifted out to improve into tight running between AGIAAL and DUAL HAPPYFor some distance after this, BEST SHOW raced in restricted room between AGIAAL and DUAL HAPPY",SA,10,24.0
