finishtime,horsecode,lbw,runningpositions,winoddsrank,racedate,timeperm,jockeycode,marginsbehindleader,todaysrunners,racecoursecode,horsewt,sec_timelist,racenumber,secfinishtime,draw,hkjcres16_item,actualwt,horseno,horsereport,trainercode,place,winodds
70.37,V043,0.0,3>3>1,,20160120,,MOJ,"[1.5, 1.5, 1.0, None, None, None]",,HV,958,"[24.09, 23.0, 23.28, None, None, None]",1,1.10.37,1,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",127,5,,SCS,1,1.7
70.67,T335,2.0,8>7>3,,20160120,,CAN,"[5.0, 4.75, 2.0, None, None, None]",,HV,1059,"[24.65, 22.96, 23.06, None, None, None]",1,1.10.67,11,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",125,6,,CAS,3,48.0
70.93,N307,3.5,2>2>5,,20160120,,HCY,"[0.75, 1.0, 3.5, None, None, None]",,HV,1180,"[23.97, 23.04, 23.92, None, None, None]",1,1.10.93,10,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",131,1,,FC,5,9.8
71.35,S317,6.25,9>9>7,,20160120,,MR,"[5.75, 7.75, 6.25, None, None, None]",,HV,1077,"[24.77, 23.32, 23.26, None, None, None]",1,1.11.35,12,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",130,3,,TYS,7,11.0
71.7,S432,8.25,12>12>9,,20160120,,DSS,"[8.75, 10.25, 8.25, None, None, None]",,HV,1045,"[25.25, 23.24, 23.21, None, None, None]",1,1.11.70,8,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",119,11,,SWY,9,16.0
72.19,P112,11.5,10>11>11,,20160120,,TON,"[7.0, 9.5, 11.5, None, None, None]",,HV,1220,"[24.97, 23.4, 23.82, None, None, None]",1,1.12.19,9,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",122,7,,YPF,11,72.0
70.5,T140,1.0,4>4>2,4,20160120,1.79,WD,"[2.25, 2.5, 1.0, None, None, None]","V043,N307,S317,T140,S432,T335,P112",HV,1157,"[24.21, 23.04, 23.25, None, None, None]",1,1.10.50,3,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",118,12,MISSION POSSIBLE and NEVER BETTER were sent for sampling,OSP,2,12.0
70.85,T258,3.0,7>6>4,5,20160120,1.8,WJH,"[4.75, 4.0, 3.0, None, None, None]","V043,N307,S317,T140,T258,S432,T335,P112",HV,1115,"[24.61, 22.88, 23.36, None, None, None]",1,1.10.85,6,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",126,2,,NTK,4,12.0
71.17,S252,5.0,6>5>6,7,20160120,1.81,LHW,"[3.25, 3.5, 5.0, None, None, None]","V043,N307,S317,T140,T258,S432,S252,T335,P112",HV,1144,"[24.37, 23.04, 23.76, None, None, None]",1,1.11.17,2,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",123,9,,HL,6,41.0
71.36,N337,6.25,1>1>8,7,20160120,1.81,LDE,"[0.75, 1.0, 6.25, None, None, None]","V043,N307,S317,T140,T258,S432,N337,S252,T335,P112",HV,1230,"[23.85, 23.0, 24.51, None, None, None]",1,1.11.36,4,"[{'a1_div': u'15.00',
 'a2_div': u'NOT WIN',
 'a3_div': u'NOT WIN',
 'courseconfig': u'TURF - ""C"" COURSE',
 'f4_combo_div': u'2,5,6,12 3,591.00',
 'finishtime': 70.37,
 'going': u'GOOD',
 'place_combo_div': u'5 11.00',
 'qn_combo_div': u'5,12 84.50',
 'qnp_combo_div': u'5,12 42.00',
 'qtt_combo_div': u'5,12,6,2 41,782.00',
 'raceclass': u'Class 4',
 'racedistance': 1200,
 'raceindex': 338,
 'sectional_time_url': u'http://www.hkjc.com/english/racing/display_sectionaltime.asp?RaceDate=20/01/2016&Raceno=1&All=0#Race1',
 'tce_combo_div': u'5,12,6 4,545.00',
 'trio_combo_div': u'5,6,12 1,500.00',
 'url': 'http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160120/HV/1',
 'win_combo_div': u'5 17.50'}]",122,8,,CD,8,28.0
